Seattle Central College Edit, N/A, Booker Facebook: https://www.facebook.com/CAB.SeattleCentral/
Seattle Pacific University Edit, Booker Email: studentlife@spu.edu, Booker Phone: (206) 281-2481 Booker Email: studentlife@spu.edu Booker Link: https://spu.edu/administration/office-of-student-life/community-life/student-involvement-leadership/staff-directory Booking Tips: Campus Radio Station Contact - Campus Newspaper Contact
Seattle University Edit, Booker Email: seacpres@seattleu.edu, Booker Phone: (206) 296-6047 Booker Email: seacpres@seattleu.edu Booking Tips: Campus Radio Station Contact
Renaissance Seattle Hotel Edit, Booker Phone: (206) 694-4973, Talent Buyer(s): Liza Booker Phone: (206) 694-4973 Booker Email: soranaka@renaissanceseattle.com Booking Tips: You can also call the hotel and ask to be transferred to Liza's extension  but email works best. The venue has a PA and mics that they provide for the performers.
Lagunitas Seattle TapRoom & Beer Sanctuary Edit, Booker Link: https://lagunitas.com/band-request-form, Talent Buyer(s): Greg Booker Link: https://lagunitas.com/band-request-form Booking Tips: **Mostly local acts. Submit all booking inquiries via the contact form listed above. The venue has a sound system that they provide for the performers.
North Seattle College Edit, Booker Phone: (206) 934-3642, Talent Buyer(s): Janet Booker Phone: (206) 934-3642 Booker Email: janet.hoppe-leonard@seattlecolleges.edu Booking Tips: Additional Booking Contact: Elijah Garrard via Elijah.Garrard@seattlecolleges.edu.
South Seattle College Edit, Booker Phone: (206) 934-6750, Talent Buyer(s): Monica Booker Phone: (206) 934-6750 Booker Email: Monica.Lundberg@seattlecolleges.edu
Showbox at the Market Edit, Technical Specs: https://www.showboxpresents.com/venue-info/technical-information, Booker Link: https://www.showboxpresents.com/venue-info/contact-us Technical Specs: https://www.showboxpresents.com/venue-info/technical-information Booking Tips: Submit all booking inquiries via the contact form on their official website.
Showbox SoDo Edit, Technical Specs: https://www.showboxpresents.com/venue-info/technical-information, Booker Link: https://www.showboxpresents.com/venue-info/contact-us Technical Specs: https://www.showboxpresents.com/venue-info/technical-information Booking Tips: Submit all booking inquiries via the contact form on their official website.
Conor Byrne Pub Edit, Booker Email: pub@conorbyrnepub.com, Talent Buyer(s): Navid Booker Email: pub@conorbyrnepub.com Booking Tips: Submit all booking inquiries via email and be sure to include the following in your message: A link to your website  where you have played in the Seattle area  with whom  and what your draw is on a Thursday vs. a Friday/Saturday. Performers under 21 can only be in the bar during their set  not before or after. They have a full sound system that they provide along with a piano. Bands are paid from the door - usually 80%. 
The Central Saloon Edit, Booker Email: booking@centralsaloon.com, Talent Buyer(s): Michael Booker Email: booking@centralsaloon.com Booking Tips: Be sure to include the following info in your message: Your name  position in the band  any relevant links  your email address. The venue has a full sound system that they provide for the performers.
